,Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Crime type,Last outcome category,Context
49428,1c1a80c857d85709c66f5bbded75d317001c374548754d0b37daf23f75e8bc92,2024-04,Metropolitan Police Service,Metropolitan Police Service,-0.20809499999999997,51.520487,On or near St Josephs Close,E01002855,Kensington and Chelsea 001D,Violence and sexual offences,Unable to prosecute suspect,
49429,462fc9c9030d034ef33f14f2efc2318f15b269e66245f29b137689ed93179ad5,2024-04,Metropolitan Police Service,Metropolitan Police Service,-0.206981,51.51985,On or near Raddington Road,E01002855,Kensington and Chelsea 001D,Violence and sexual offences,Investigation complete; no suspect identified,
49430,901d2ecd2d223e5cdaed070daa7a7e3b1598a7baffd57a1ed3af227a24f65c49,2024-04,Metropolitan Police Service,Metropolitan Police Service,-0.20816199999999999,51.52172,On or near Swinbrook Road,E01002855,Kensington and Chelsea 001D,Violence and sexual offences,Unable to prosecute suspect,
49431,eaeb0bf203711494f3277366c48c0e38c8228df19178a502ba69b5529fcb61b0,2024-04,Metropolitan Police Service,Metropolitan Police Service,-0.206835,51.519902,On or near Blagrove Road,E01002855,Kensington and Chelsea 001D,Violence and sexual offences,Unable to prosecute suspect,
49432,0ae3254893cacb9542813be99b5ef74bcc178822972ebcc7e4f82ed46456ba0b,2024-04,Metropolitan Police Service,Metropolitan Police Service,-0.208472,51.521887,On or near Golborne Road,E01002855,Kensington and Chelsea 001D,Violence and sexual offences,Unable to prosecute suspect,
49433,a8d3758f1c391ce1fff41d348378aefb1acc5dc8e5d4d5b22eb5a35e2deda66f,2024-04,Metropolitan Police Service,Metropolitan Police Service,-0.205904,51.521209000000006,On or near Morgan Road,E01002855,Kensington and Chelsea 001D,Violence and sexual offences,Action to be taken by another organisation,
49442,038cb97f06277e564805107b6f3bfbe9dde44cfdb4d2e9a285dc139d989e547d,2024-04,Metropolitan Police Service,Metropolitan Police Service,-0.206637,51.524196999999994,On or near Golborne Gardens,E01002857,Kensington and Chelsea 001E,Violence and sexual offences,Unable to prosecute suspect,
49443,8c013d6b1907817dde8252a08c2d98b234c9c368eedd0414b5c94856781d7041,2024-04,Metropolitan Police Service,Metropolitan Police Service,-0.206637,51.524196999999994,On or near Golborne Gardens,E01002857,Kensington and Chelsea 001E,Violence and sexual offences,Unable to prosecute suspect,
49444,0bff4082c49aa54da94dd7016654f51cd7feb7385430f0b8acbd933771d2ab3c,2024-04,Metropolitan Police Service,Metropolitan Police Service,-0.206515,51.523656,On or near Golborne Road,E01002857,Kensington and Chelsea 001E,Violence and sexual offences,Unable to prosecute suspect,
49445,f7529dd3d7fc59ead1daaef2bdf5ac8530f1f01be45d39f9c8f5103182a94938,2024-04,Metropolitan Police Service,Metropolitan Police Service,-0.207765,51.524475,On or near Adair Road,E01002857,Kensington and Chelsea 001E,Violence and sexual offences,Status update unavailable,
49446,56307a0260a7d311bc9866cee53c8d5150ad0510579fdce93fa1633946efeed6,2024-04,Metropolitan Police Service,Metropolitan Police Service,-0.206637,51.524196999999994,On or near Golborne Gardens,E01002857,Kensington and Chelsea 001E,Violence and sexual offences,Investigation complete; no suspect identified,
49456,27335055f5044a5638df9c3d5ad7e549c38c247882d5333199f631359c32d701,2024-04,Metropolitan Police Service,Metropolitan Police Service,-0.224811,51.52468,On or near Webb Close,E01002904,Kensington and Chelsea 002A,Violence and sexual offences,Unable to prosecute suspect,
49457,f055824c0e56d35d1eeafdbfc4f7c1bdd9011601f8829a470f59dd32fa9be766,2024-04,Metropolitan Police Service,Metropolitan Police Service,-0.22200999999999999,51.524053,On or near Hillman Drive,E01002904,Kensington and Chelsea 002A,Violence and sexual offences,Unable to prosecute suspect,
49458,04e25fbf90f5e65b1b39dca8c146e9887a7380aee9997a0eba85a748c9d3d55f,2024-04,Metropolitan Police Service,Metropolitan Police Service,-0.221007,51.524254,On or near Humber Drive,E01002904,Kensington and Chelsea 002A,Violence and sexual offences,Investigation complete; no suspect identified,
49459,93a38fc299b1c11ef64d2daaed72273ef4ed8b8005b489a9a6b9a0d0fd9622e1,2024-04,Metropolitan Police Service,Metropolitan Police Service,-0.224811,51.52468,On or near Webb Close,E01002904,Kensington and Chelsea 002A,Violence and sexual offences,Unable to prosecute suspect,
49460,e1ed38663d1c9e42aec42daaee712262024adfd3dd6b2c4d6877205470bad1a9,2024-04,Metropolitan Police Service,Metropolitan Police Service,-0.22291599999999998,51.523725,On or near Dalgarno Way,E01002904,Kensington and Chelsea 002A,Violence and sexual offences,Unable to prosecute suspect,
49481,215f09535bb20a5975b3b7f9118f01ee154b5b5a532065006fe2a42e358a45e7,2024-04,Metropolitan Police Service,Metropolitan Police Service,-0.214988,51.524459,On or near Admiral Mews,E01002905,Kensington and Chelsea 002B,Violence and sexual offences,Investigation complete; no suspect identified,
49482,332141fac69b8f8f199b259fb5d6fa43926ce56d8b1e00a420464ed4f4f001a1,2024-04,Metropolitan Police Service,Metropolitan Police Service,-0.214044,51.523546,On or near Treverton Street,E01002905,Kensington and Chelsea 002B,Violence and sexual offences,Investigation complete; no suspect identified,
49483,b0dbbc79d8056b4868898feb963ce680c9da31574a7f61145230f36c4092c3ab,2024-04,Metropolitan Police Service,Metropolitan Police Service,-0.214988,51.524459,On or near Admiral Mews,E01002905,Kensington and Chelsea 002B,Violence and sexual offences,Unable to prosecute suspect,
49484,8fbe8fd0c301c0e76c25dfe81f583f5353bfdd52c09f45aae92bc8e8e63aaebf,2024-04,Metropolitan Police Service,Metropolitan Police Service,-0.214044,51.523546,On or near Treverton Street,E01002905,Kensington and Chelsea 002B,Violence and sexual offences,Investigation complete; no suspect identified,
49485,3d1ff06afbe9c93428f25c2fc2ab7846ed057aef679d06b22fa14a1e0981e61d,2024-04,Metropolitan Police Service,Metropolitan Police Service,-0.214044,51.523546,On or near Treverton Street,E01002905,Kensington and Chelsea 002B,Violence and sexual offences,Awaiting court outcome,
49511,5f40640acd495acc0b239b99574c079f06d1e6568e8db4f8fd2af473a2606194,2024-04,Metropolitan Police Service,Metropolitan Police Service,-0.22009,51.52228,On or near Methwold Road,E01002906,Kensington and Chelsea 002C,Violence and sexual offences,Status update unavailable,
49512,4d67b25e825e06977053346caa844a38a372791008abe1a6b2c491bba2fb65f4,2024-04,Metropolitan Police Service,Metropolitan Police Service,-0.216354,51.522718,On or near Exmoor Street,E01002906,Kensington and Chelsea 002C,Violence and sexual offences,Status update unavailable,
49513,4396a5bd9ae46a37834c52871f20bbe7479fff517fbebc630ace6aea39191ac1,2024-04,Metropolitan Police Service,Metropolitan Police Service,-0.216354,51.522718,On or near Exmoor Street,E01002906,Kensington and Chelsea 002C,Violence and sexual offences,Status update unavailable,
49514,d4c07111f41fa0741720f39e96278dad5a11745a8007f0cedd653f3721354217,2024-04,Metropolitan Police Service,Metropolitan Police Service,-0.221133,51.521405,On or near Oakworth Road,E01002906,Kensington and Chelsea 002C,Violence and sexual offences,Status update unavailable,
49515,0288eb7f6cc4f1343410cf0664055cce909d80527ff3a1556a3888dfbd6552a0,2024-04,Metropolitan Police Service,Metropolitan Police Service,-0.22009,51.52228,On or near Methwold Road,E01002906,Kensington and Chelsea 002C,Violence and sexual offences,Unable to prosecute suspect,
49516,ed74afa95baeabb3e1a75cd11691cd4a8ed46996ae3e3f42c9a540965a7d0e80,2024-04,Metropolitan Police Service,Metropolitan Police Service,-0.22009,51.52228,On or near Methwold Road,E01002906,Kensington and Chelsea 002C,Violence and sexual offences,Investigation complete; no suspect identified,
49517,00a4559d1727de3de86fe532ced7b0ab0516a2b6eee58bcc7e2d430772fff0e6,2024-04,Metropolitan Police Service,Metropolitan Police Service,-0.22009,51.52228,On or near Methwold Road,E01002906,Kensington and Chelsea 002C,Violence and sexual offences,Investigation complete; no suspect identified,
49518,d39fc2fb8adc4c05fc3265ed57e76f2082d39b4edf2d15d0e1d51149b8610c33,2024-04,Metropolitan Police Service,Metropolitan Police Service,-0.22009,51.52228,On or near Methwold Road,E01002906,Kensington and Chelsea 002C,Violence and sexual offences,Unable to prosecute suspect,
49519,97998d04dbbef31420bc0bd9f33446f80071cf359d7d5891837d5e1b32757261,2024-04,Metropolitan Police Service,Metropolitan Police Service,-0.216354,51.522718,On or near Exmoor Street,E01002906,Kensington and Chelsea 002C,Violence and sexual offences,Investigation complete; no suspect identified,
49520,ba402a5f2bd9bff834d384e5d50590874628116a444567eb8a8ce2b151a69062,2024-04,Metropolitan Police Service,Metropolitan Police Service,-0.22009,51.52228,On or near Methwold Road,E01002906,Kensington and Chelsea 002C,Violence and sexual offences,Investigation complete; no suspect identified,
49521,913a4ea67a1aa87332a638ba6a8dd7032fa25b5e4932126887e20ec0f40c44a7,2024-04,Metropolitan Police Service,Metropolitan Police Service,-0.22009,51.52228,On or near Methwold Road,E01002906,Kensington and Chelsea 002C,Violence and sexual offences,Unable to prosecute suspect,
49522,562286739b21fbef44eb4c1296a1daeca269209a26b2ab8bc28d0dc27602feb6,2024-04,Metropolitan Police Service,Metropolitan Police Service,-0.216354,51.522718,On or near Exmoor Street,E01002906,Kensington and Chelsea 002C,Violence and sexual offences,Unable to prosecute suspect,
49523,7754d30a2bba6afd599f6ee0794a3dc2006ef385e47277c5fa3ea911ac95fb16,2024-04,Metropolitan Police Service,Metropolitan Police Service,-0.22009,51.52228,On or near Methwold Road,E01002906,Kensington and Chelsea 002C,Violence and sexual offences,Status update unavailable,
49524,95330f545d7ae6deb4ad015ee420efa194aa76bd8fee524a5b13856ff3ac9092,2024-04,Metropolitan Police Service,Metropolitan Police Service,-0.216354,51.522718,On or near Exmoor Street,E01002906,Kensington and Chelsea 002C,Violence and sexual offences,Unable to prosecute suspect,
49525,f97cd0f434c1bb445ee07f69842efa45fd2a42bc40a386ffddd33aaf0d00223b,2024-04,Metropolitan Police Service,Metropolitan Police Service,-0.22009,51.52228,On or near Methwold Road,E01002906,Kensington and Chelsea 002C,Violence and sexual offences,Status update unavailable,
49526,24b54f0d1f95c140c70f51e6462941e33879ad923473d9eaff6a2d82e4776ff4,2024-04,Metropolitan Police Service,Metropolitan Police Service,-0.22009,51.52228,On or near Methwold Road,E01002906,Kensington and Chelsea 002C,Violence and sexual offences,Unable to prosecute suspect,
49527,de522ebfe87e91451746a3b7890bb71b5cdef213cc9eb3bc57b5ac57d2403558,2024-04,Metropolitan Police Service,Metropolitan Police Service,-0.216354,51.522718,On or near Exmoor Street,E01002906,Kensington and Chelsea 002C,Violence and sexual offences,Investigation complete; no suspect identified,
49528,cff544bfaec5188745388b1e8973e8e63962bc8697759a9de86c750f9df66dbd,2024-04,Metropolitan Police Service,Metropolitan Police Service,-0.216354,51.522718,On or near Exmoor Street,E01002906,Kensington and Chelsea 002C,Violence and sexual offences,Investigation complete; no suspect identified,
49529,c417926b1fc7e3e59ec423888b34e7e8be9d8a88d38e50e8367d9c2aea589ff4,2024-04,Metropolitan Police Service,Metropolitan Police Service,-0.22009,51.52228,On or near Methwold Road,E01002906,Kensington and Chelsea 002C,Violence and sexual offences,Unable to prosecute suspect,
49530,e1c18b5d0ee2935a2adc29e27dacbe3e67826237ec50b517708890d77cce7662,2024-04,Metropolitan Police Service,Metropolitan Police Service,-0.216354,51.522718,On or near Exmoor Street,E01002906,Kensington and Chelsea 002C,Violence and sexual offences,Unable to prosecute suspect,
49533,01e87b459a1bd5945ba67a6cd36352e0c6d5af3ff9af8127669edff6e5553ee3,2024-04,Metropolitan Police Service,Metropolitan Police Service,-0.224881,51.522883,On or near Sutton Way,E01002907,Kensington and Chelsea 002D,Violence and sexual offences,Unable to prosecute suspect,
49534,7980570faeacc86278e4e4853a8cb55ba8aa074482a7b76c96a0dc00a5ec3035,2024-04,Metropolitan Police Service,Metropolitan Police Service,-0.224881,51.522883,On or near Sutton Way,E01002907,Kensington and Chelsea 002D,Violence and sexual offences,Unable to prosecute suspect,
49557,d36ba07700c990c7e0c4c97d3058333236bdfd4d8bbc0881ef2188a9519ac74b,2024-04,Metropolitan Police Service,Metropolitan Police Service,-0.225372,51.519887,On or near Calderon Place,E01002876,Kensington and Chelsea 003A,Violence and sexual offences,Unable to prosecute suspect,
49586,921dfabf14ee04cec52e6bc14e605e0cc35193151aec1d5403256d4c4cd44d50,2024-04,Metropolitan Police Service,Metropolitan Police Service,-0.21831,51.515077000000005,On or near Charlotte Mews,E01002877,Kensington and Chelsea 003B,Violence and sexual offences,Awaiting court outcome,
49587,b03f3f209430095e68b1e109fd00e02a285473060f81a1f2ec04fa393b260156,2024-04,Metropolitan Police Service,Metropolitan Police Service,-0.21831,51.515077000000005,On or near Charlotte Mews,E01002877,Kensington and Chelsea 003B,Violence and sexual offences,Unable to prosecute suspect,
49588,8f27d92b12beb694b8c105a2afd0246eb7b69a537d15f86b3feef748f3206314,2024-04,Metropolitan Police Service,Metropolitan Police Service,-0.218739,51.512943,On or near Lockton Street,E01002877,Kensington and Chelsea 003B,Violence and sexual offences,Status update unavailable,
49589,0e33180110ec997c420971048547fc82d10f9953e1124fbf893cc68167f7f527,2024-04,Metropolitan Police Service,Metropolitan Police Service,-0.221367,51.514647,On or near Stable Way,E01002877,Kensington and Chelsea 003B,Violence and sexual offences,Investigation complete; no suspect identified,
49590,e43fe4bbccf149de64f393739f27c4909ffed04309309616b8613ed6d90822b9,2024-04,Metropolitan Police Service,Metropolitan Police Service,-0.219717,51.512239,On or near Bard Road,E01002877,Kensington and Chelsea 003B,Violence and sexual offences,Unable to prosecute suspect,
49591,a1a347fafc2aae4bf1c6af64282604f18ed8efadca3ecba94dcbc080a230f9d1,2024-04,Metropolitan Police Service,Metropolitan Police Service,-0.219717,51.512239,On or near Bard Road,E01002877,Kensington and Chelsea 003B,Violence and sexual offences,Unable to prosecute suspect,
49592,727f0f33a02858f38f307439c3e604e40447dc1c9a8f9bc81bacee689c4107b1,2024-04,Metropolitan Police Service,Metropolitan Police Service,-0.21831,51.515077000000005,On or near Charlotte Mews,E01002877,Kensington and Chelsea 003B,Violence and sexual offences,Unable to prosecute suspect,
49593,b78982f5a7d0f7424d0297e3358bc86a3b6d0fe42e37b07c8d4ff42e4cb4a29d,2024-04,Metropolitan Police Service,Metropolitan Police Service,-0.21831,51.515077000000005,On or near Charlotte Mews,E01002877,Kensington and Chelsea 003B,Violence and sexual offences,Unable to prosecute suspect,
49594,96670ac0f5ab021232c209fe30821d9ff4fdf4f986d5d559558f0018d4888ea9,2024-04,Metropolitan Police Service,Metropolitan Police Service,-0.21831,51.515077000000005,On or near Charlotte Mews,E01002877,Kensington and Chelsea 003B,Violence and sexual offences,Action to be taken by another organisation,
49595,8508fd05908c612914b1b287fcaa975b93ad5f933ce230a24c14a823ac645ae1,2024-04,Metropolitan Police Service,Metropolitan Police Service,-0.21880300000000003,51.516459999999995,On or near Crowthorne Road,E01002877,Kensington and Chelsea 003B,Violence and sexual offences,Investigation complete; no suspect identified,
49620,454bb6d4afccc7658f4aeec2f94f283ff3348f26ee6806b5f06db8cbcc27179b,2024-04,Metropolitan Police Service,Metropolitan Police Service,-0.21601199999999998,51.516226,On or near Further/Higher Educational Building,E01002878,Kensington and Chelsea 003C,Violence and sexual offences,Unable to prosecute suspect,
49621,6d58d5c6819a582f963f1a556c419dcf8e795f5a0d03fa809890d36ac50761c7,2024-04,Metropolitan Police Service,Metropolitan Police Service,-0.210223,51.517678000000004,On or near Ladbroke Grove,E01002878,Kensington and Chelsea 003C,Violence and sexual offences,Status update unavailable,
49622,aa54ea55f6ee17a8f90acbdb592d70aa112dce8c223e606c423eaf3b826acb8b,2024-04,Metropolitan Police Service,Metropolitan Police Service,-0.213573,51.51567,On or near Wesley Square,E01002878,Kensington and Chelsea 003C,Violence and sexual offences,Unable to prosecute suspect,
49623,13dde1e859b1d002671d59a0bc8d1bf2bd2391cf7fb77c5ec2f5ced969ebf485,2024-04,Metropolitan Police Service,Metropolitan Police Service,-0.210223,51.517678000000004,On or near Ladbroke Grove,E01002878,Kensington and Chelsea 003C,Violence and sexual offences,Status update unavailable,
49624,cfa378c46391beafc0e795768758a184c65bce1c78639755c6462b4202c5ae2e,2024-04,Metropolitan Police Service,Metropolitan Police Service,-0.213573,51.51567,On or near Wesley Square,E01002878,Kensington and Chelsea 003C,Violence and sexual offences,Unable to prosecute suspect,
49625,0740a6d979c44b649ae367b58df6afc6e4568e36e5f077e446df0d328df15ad7,2024-04,Metropolitan Police Service,Metropolitan Police Service,-0.215968,51.51487,On or near Silchester Road,E01002878,Kensington and Chelsea 003C,Violence and sexual offences,Status update unavailable,
49626,9ed843d63f594e5b5d28985f95f1f7e382bfb7f8cf1f933e19385b8c747eab21,2024-04,Metropolitan Police Service,Metropolitan Police Service,-0.210223,51.517678000000004,On or near Ladbroke Grove,E01002878,Kensington and Chelsea 003C,Violence and sexual offences,Unable to prosecute suspect,
49627,0bc714f5ca9a77f53a9074a9ea78d1a5c2307d1d68e901a606b10aa3b188080c,2024-04,Metropolitan Police Service,Metropolitan Police Service,-0.215459,51.515744,On or near Bridge Close,E01002878,Kensington and Chelsea 003C,Violence and sexual offences,Unable to prosecute suspect,
49628,c611570f55f9c15e0fd522b052312d1b7e75ab5f96717080dedaa36d91572292,2024-04,Metropolitan Police Service,Metropolitan Police Service,-0.211128,51.518115,On or near Malton Mews,E01002878,Kensington and Chelsea 003C,Violence and sexual offences,Unable to prosecute suspect,
49629,06d374f9902e6e86a33ee6060d6f415e34653d728ef791c74d44fc1e1efb0381,2024-04,Metropolitan Police Service,Metropolitan Police Service,-0.210223,51.517678000000004,On or near Ladbroke Grove,E01002878,Kensington and Chelsea 003C,Violence and sexual offences,Investigation complete; no suspect identified,
49630,f862ab460d8690c6763152035304374dcf842eaf38136b26872613f99bfa63ee,2024-04,Metropolitan Police Service,Metropolitan Police Service,-0.210223,51.517678000000004,On or near Ladbroke Grove,E01002878,Kensington and Chelsea 003C,Violence and sexual offences,Investigation complete; no suspect identified,
49631,60520d523ad94b970b077270ceea6fb7629eec6aad629e2de42c75908abe965e,2024-04,Metropolitan Police Service,Metropolitan Police Service,-0.213573,51.51567,On or near Wesley Square,E01002878,Kensington and Chelsea 003C,Violence and sexual offences,Status update unavailable,
49632,3a9fe8849f6254a6afc70c1aeaf984f2b8df82e9c1d10f9dccd4d48f8d4aee80,2024-04,Metropolitan Police Service,Metropolitan Police Service,-0.215459,51.515744,On or near Bridge Close,E01002878,Kensington and Chelsea 003C,Violence and sexual offences,Unable to prosecute suspect,
49633,49e458f7c612b6d69e9fbf49e424d00fa6ab13ece5a38c30ef4100731700b5bb,2024-04,Metropolitan Police Service,Metropolitan Police Service,-0.213573,51.51567,On or near Wesley Square,E01002878,Kensington and Chelsea 003C,Violence and sexual offences,Status update unavailable,
49650,1276ec444bebfd14ed5c7188fa365cf3b86633b7154a0d84abb63d44f0274bd8,2024-04,Metropolitan Police Service,Metropolitan Police Service,-0.224642,51.520487,On or near St Quintin Gardens,E01002908,Kensington and Chelsea 003D,Violence and sexual offences,Action to be taken by another organisation,
49651,8ad583e96abf5437251d6c889d2309ece2dca2ccc08dd00981fc4b87d788afcc,2024-04,Metropolitan Police Service,Metropolitan Police Service,-0.223084,51.522019,On or near Blake Close,E01002908,Kensington and Chelsea 003D,Violence and sexual offences,Investigation complete; no suspect identified,
49652,c41894683e7da42ca8d7b05d89e791ae8b4276250c75c1b02d7dc78500130b24,2024-04,Metropolitan Police Service,Metropolitan Police Service,-0.225454,51.52112,On or near Nursery Lane,E01002908,Kensington and Chelsea 003D,Violence and sexual offences,Unable to prosecute suspect,
49653,c587ab530c17b2bd6c0b5b25ff0c14fb914ce5588c54c606abf137a45f8e0c39,2024-04,Metropolitan Police Service,Metropolitan Police Service,-0.225454,51.52112,On or near Nursery Lane,E01002908,Kensington and Chelsea 003D,Violence and sexual offences,Unable to prosecute suspect,
49667,e92a3d3a31c422e068c944a9f44369f7622e5e50a6f96797e5691549843c8aed,2024-04,Metropolitan Police Service,Metropolitan Police Service,-0.21444499999999997,51.518822,On or near Bassett Road,E01002909,Kensington and Chelsea 003E,Violence and sexual offences,Unable to prosecute suspect,
49668,ed5dd5e33503ce0f265169a4249af7b74b6b4c14b50eb6ac408b9a79f5bf9dc7,2024-04,Metropolitan Police Service,Metropolitan Police Service,-0.213081,51.519781,On or near Chesterton Road,E01002909,Kensington and Chelsea 003E,Violence and sexual offences,Status update unavailable,
49683,aaf81860e958ac4d04df988fd5773913cabbe7275f68a7d7222d97c1a2ed080f,2024-04,Metropolitan Police Service,Metropolitan Police Service,-0.202119,51.518516999999996,On or near St Lukes Road,E01002829,Kensington and Chelsea 004A,Violence and sexual offences,Unable to prosecute suspect,
49684,90b778b21145046246719c5def14024aa0135943a84d2a10032958247ca57ec8,2024-04,Metropolitan Police Service,Metropolitan Police Service,-0.20077,51.517255,On or near Powis Mews,E01002829,Kensington and Chelsea 004A,Violence and sexual offences,Unable to prosecute suspect,
49685,fc571723d73587b527de523ed617df1673b3b438f82563eae198b9eea4e0e633,2024-04,Metropolitan Police Service,Metropolitan Police Service,-0.200991,51.516764,On or near Powis Terrace,E01002829,Kensington and Chelsea 004A,Violence and sexual offences,Investigation complete; no suspect identified,
49699,d693dc55148348300a5e9f6849a12154f0058bf9224564dffc27d74a5746d61b,2024-04,Metropolitan Police Service,Metropolitan Police Service,-0.203231,51.516259000000005,On or near Talbot Road,E01002830,Kensington and Chelsea 004B,Violence and sexual offences,Unable to prosecute suspect,
49700,4e95fc392036fc0e269396714562a5c77e33a8cea7b8dd1c744cd0bfb0783c86,2024-04,Metropolitan Police Service,Metropolitan Police Service,-0.204566,51.51895,On or near Tavistock Road,E01002830,Kensington and Chelsea 004B,Violence and sexual offences,Status update unavailable,
49701,4f755c37f216d449b8fd3063357908f82c0a1d3f147fec1ffe6a076884424d58,2024-04,Metropolitan Police Service,Metropolitan Police Service,-0.20363399999999998,51.517721,On or near St Lukes Mews,E01002830,Kensington and Chelsea 004B,Violence and sexual offences,Investigation complete; no suspect identified,
49702,d7bca15c6a996f6d5eeb71b8ff597a06b227c8466c124bd02db2901bf8d11840,2024-04,Metropolitan Police Service,Metropolitan Police Service,-0.205319,51.517773999999996,On or near Basing Street,E01002830,Kensington and Chelsea 004B,Violence and sexual offences,Unable to prosecute suspect,
49703,5805f2ff163d21379ab52a77e53712ddb6a0a9057345383642c21907a7634ade,2024-04,Metropolitan Police Service,Metropolitan Police Service,-0.20363399999999998,51.517721,On or near St Lukes Mews,E01002830,Kensington and Chelsea 004B,Violence and sexual offences,Unable to prosecute suspect,
49704,40497046c69ae87063801035eb6465c2cdb5283fd6d1b22ddffcf638845ca405,2024-04,Metropolitan Police Service,Metropolitan Police Service,-0.204566,51.51895,On or near Tavistock Road,E01002830,Kensington and Chelsea 004B,Violence and sexual offences,Status update unavailable,
49705,868457d779ccfb89cbda61e8601739f14d7e704f2d586501f3afc9cc77a28e1b,2024-04,Metropolitan Police Service,Metropolitan Police Service,-0.202327,51.516514,On or near Powis Gardens,E01002830,Kensington and Chelsea 004B,Violence and sexual offences,Status update unavailable,
49706,9644a49600b2939633cf5cf06306b9d9503e194dd731d1d59c06afbeb6a5fd0b,2024-04,Metropolitan Police Service,Metropolitan Police Service,-0.204566,51.51895,On or near Tavistock Road,E01002830,Kensington and Chelsea 004B,Violence and sexual offences,Status update unavailable,
49707,790e8b85ed8f319593d6a2fc2e7a7b948c429e846f3cb3e7b75ed68ef9a58b1c,2024-04,Metropolitan Police Service,Metropolitan Police Service,-0.202327,51.516514,On or near Powis Gardens,E01002830,Kensington and Chelsea 004B,Violence and sexual offences,Status update unavailable,
49708,4206b5db75b3b7a2d127d658430046508e0e3a950fede8433f7f4ec542b111a3,2024-04,Metropolitan Police Service,Metropolitan Police Service,-0.204904,51.516599,On or near Dunworth Mews,E01002830,Kensington and Chelsea 004B,Violence and sexual offences,Unable to prosecute suspect,
49753,c894870d9e8ce4f45e6c7f1f54167f3d19f066dfc76ade6a893dde450cd59920,2024-04,Metropolitan Police Service,Metropolitan Police Service,-0.206869,51.517933,On or near Shopping Area,E01002831,Kensington and Chelsea 004C,Violence and sexual offences,Investigation complete; no suspect identified,
49754,e7820d12feab6fa49fd290dffe062ff34c42a667b504d4abcd3119b29000af2d,2024-04,Metropolitan Police Service,Metropolitan Police Service,-0.2125,51.516571,On or near Ruston Mews,E01002831,Kensington and Chelsea 004C,Violence and sexual offences,Investigation complete; no suspect identified,
49755,e1faea932c0f77800cc9d895fd28c913fc87be336a0baee5efa8b95ac806854e,2024-04,Metropolitan Police Service,Metropolitan Police Service,-0.20849600000000001,51.516501,On or near Elgin Mews,E01002831,Kensington and Chelsea 004C,Violence and sexual offences,Status update unavailable,
49756,85717ee4dbd98470fbff5041d0b9ec8538b53711a1a3289768e7c6808adf6771,2024-04,Metropolitan Police Service,Metropolitan Police Service,-0.206076,51.517219,On or near Alba Place,E01002831,Kensington and Chelsea 004C,Violence and sexual offences,Investigation complete; no suspect identified,
